sub a1 ,a1, a2;OP;SUB;nextPC;rs1;rs2;x;alu;sub;1;0;0;0;0;x;x;x
sll a1 ,a1, a2;OP;SLL;nextPC;rs1;rs2;x;alu;sll;1;0;0;0;0;x;x;x
slt a1 ,a1, a2;OP;SLT;nextPC;rs1;rs2;x;alu;slt;1;0;0;0;0;x;x;x
sltu a1 ,a1, a2;OP;SLTU;nextPC;rs1;rs2;x;alu;sltu;1;0;0;0;0;x;x;x
xor a1 ,a1, a2;OP;XOR;nextPC;rs1;rs2;x;alu;xor;1;0;0;0;0;x;x;x
srl a1 ,a1, a2;OP;SRL;nextPC;rs1;rs2;x;alu;srl;1;0;0;0;0;x;x;x
sra a1 ,a1, a2;OP;SRA;nextPC;rs1;rs2;x;alu;sra;1;0;0;0;0;x;x;x
or a1 ,a1, a2;OP;OR;nextPC;rs1;rs2;x;alu;or;1;0;0;0;0;x;x;x
and a1 ,a1, a2;OP;AND;nextPC;rs1;rs2;x;alu;and;1;0;0;0;0;x;x;x
fence;0001111;FENCE;nextPC;x;x;x;x;x;0;0;0;0;0;x;x;x
ecall;SYSTEM;ECALL;trap;x;x;x;x;x;0;0;0;1;0;1;0;0
ebreak;SYSTEM;EBREAK;trap;x;x;x;x;x;0;0;0;1;0;0;1;0
mret;SYSTEM;MRET;trap;x;x;x;x;x;0;0;0;0;1;0;0;0
sret;SYSTEM;SRET;trap;x;x;x;x;x;0;0;0;1;0;0;0;1
uret;SYSTEM;URET;trap;x;x;x;x;x;0;0;0;1;0;0;0;1
csrrw a1, 0x301,a2;SYSTEM;CSRRW;nextPC;rs1;x;x;csrdata;a;1;0;1;0;0;x;x;x
csrrs a1, 0x301,a4;SYSTEM;CSRRS;nextPC;rs1;csr;x;csrdata;or;1;0;1;0;0;x;x;x
csrrc a1, 0x301,a4;SYSTEM;CSRRC;nextPC;rs1;csr;x;csrdata;clear;1;0;1;0;0;x;x;x
csrrwi a1, 0x301,3;SYSTEM;CSRRWI;nextPC;x;imm;csrtype;csrdata;b;1;0;1;0;0;x;x;x
csrrsi a1, 0x301,3;SYSTEM;CSRRSI;nextPC;csr;imm;csrtype;csrdata;or;1;0;1;0;0;x;x;x
csrrci a1, 0x301,3;SYSTEM;CSRRCI;nextPC;csr;imm;csrtype;csrdata;clear;1;0;1;0;0;x;x;x
x;x;TRAP;trap;x;x;x;x;x;0;0;0;1;0;0;0;0
